OBJECTID,STATION_ID,ASSET_ID,NAME,LONGNAME,LINES,BRANCH_ID,STATUS,MILEPOST,FAREZONE,ADA,ADA2,PKNRD,BIKEPKNG,TICKET_AVA,ADDRESS,MUNICIPALI,TELEPHONE,WEBLINK,LABELANGLE,EDIT_INIT,EDIT_DATE,YEAR_OPEN,X,Y,xcoord,ycoord
1,1091.00000,51201091.00000,Stony Island,Stony Island,Electric,1,1,9.10000,B,0,N,0,0,,71st St. (at Stony Island Ave.),Chicago,,,30,ks,1995/08/02,,,,-87.58685,41.76601
2,1097.00000,51201097.00000,Bryn Mawr,Bryn Mawr,Electric,1,1,9.70000,B,0,N,0,0,,71st St. (at Jeffrey Blvd.),Chicago,,,30,ks,1995/08/02,,,,-87.57700,41.76612
3,1103.00000,51201103.00000,South Shore,South Shore,Electric,1,1,10.30000,B,0,N,1,0,,71st St. (near Yates and South Shore Dr.),Chicago,,,0,ks,1995/08/02,,,,-87.56571,41.76524
4,1109.00000,51201109.00000,Windsor Park,Windsor Park,Electric,1,1,10.90000,B,0,N,1,0,,75th St. (at Exchange Ave.),Chicago,,,0,ks,1995/08/02,,,,-87.55963,41.75851
5,1115.00000,51201115.00000,Cheltenham,Cheltenham (79th Street),Electric,1,1,11.50000,B,1,N,1,0,,79th St. (at Exchange Ave.),Chicago,,,0,ks,1995/08/02,,,,-87.55285,41.75232
6,1120.00000,51201120.00000,83rd St.,83rd Street,Electric,1,1,12.00000,B,0,N,1,0,,83rd St. (at Exchange Ave.),Chicago,,,0,ks,1995/08/02,,,,-87.55156,41.74501
7,1125.00000,51201125.00000,87th St.,87th Street,Electric,1,1,12.50000,B,0,N,1,0,,87th St. (1 blk. E. of Commercial Ave.),Chicago,,,0,ks,1995/08/02,,,,-87.54817,41.73775
8,1130.00000,51201130.00000,91st St.,91st Street (South Chicago),Electric,1,1,13.00000,B,0,N,1,0,,91st St. (near Baltimore St.),Chicago,,,0,ks,1995/08/02,,,,-87.54779,41.72744
9,3190.00000,51203190.00000,Hegewisch,Hegewisch,S. Shore,3,1,19.00000,3,0,A,1,0,,13730 South Brainard Ave.,Chicago,,,0,ks,1995/08/02,,,,-87.54624,41.64827
10,4156.00000,51204156.00000,State St.,State Street,Electric,4,1,15.60000,D,1,N,0,0,,State St. (S. of 120th Pl.),Chicago,,,135,ks,1995/08/02,,,,-87.62161,41.67443
11,4160.00000,51204160.00000,Stewart Ridge,Stewart Ridge,Electric,4,1,16.00000,D,1,N,0,0,,Stewart Ridge (S. of 120th Pl.),Chicago,,,135,ks,1995/08/02,,,,-87.63161,41.67432
12,4167.00000,51204167.00000,West Pullman,West Pullman,Electric,4,1,16.70000,D,1,N,1,0,,Halsted St.,Chicago,,,135,ks,1995/08/02,,,,-87.64225,41.67422
13,4170.00000,51204170.00000,Racine Ave.,Racine Avenue,Electric,4,1,17.00000,D,1,N,1,0,,Racine Ave. (S. of 120th St.),Chicago,,,135,ks,1995/08/02,,,,-87.65216,41.67411
14,4179.00000,51204179.00000,Ashland Ave.,Ashland Avenue,Electric,4,1,17.90000,D,1,N,1,0,,Ashland Ave. (near 124th St.),Calumet Park,,,0,ks,1995/08/02,,,,-87.66062,41.66943
15,4184.00000,51204184.00000,Burr Oak,Burr Oak,Electric,4,1,18.40000,D,1,N,1,0,,Burr Oak (near Lincoln St.),Blue Island,,,0,ks,1995/08/02,,,,-87.66879,41.66233
16,4189.00000,51204189.00000,Blue Island,Blue Island,Electric,4,1,18.90000,D,0,N,1,0,,Vermont St. (near Irving St.),Blue Island,,,0,ks,1995/08/02,,,,-87.67613,41.65570
17,5000.00000,51205000.00000,Millenium Station,Millenium Station,"Electric, S. Shore",5,1,0.00000,A,0,N,0,0,,Michigan Ave. (between South Water and Randolph St.),Chicago,,,0,aef,2001/03/08,,,,-87.62309,41.88437
18,5008.00000,51205008.00000,Van Buren St.,Van Buren Street,"Electric, S. Shore",5,1,0.80000,A,0,A,0,0,,Michigan Ave. (between Jackson and Van Buren Sts.),Chicago,,,0,ks,1995/09/14,,,,-87.62281,41.87700
19,5014.00000,51205014.00000,Museum Campus,Museum Campus/11th St,"Electric, S. Shore",5,1,1.40000,A,0,N,0,0,,Roosevelt Rd. and Indiana Ave.,Chicago,,,0,aef,2001/03/08,,,,-87.62142,41.86839
20,5022.00000,51205022.00000,18th St.,18th Street,Electric,5,1,2.20000,A,1,N,0,0,,18th St. (near Calumet Ave.),Chicago,,,0,ks,1995/08/02,,,,-87.61803,41.85773
21,5027.00000,51205027.00000,McCormick Place,McCormick Place,"Electric, S. Shore",5,1,2.70000,A,0,A,0,0,,23rd St. (between King Dr. and Lake Shore Dr.),Chicago,,,0,ks,1995/08/02,,,,-87.61614,41.85094
22,5032.00000,51205032.00000,27th St.,27th Street,Electric,5,1,3.20000,A,1,N,0,0,,27th St. (E. of Ellis Ave.),Chicago,,,0,ks,1995/08/02,,,,-87.61344,41.84426
23,5059.00000,51205059.00000,47th St.,47th Street (Kenwood),Electric,5,1,5.90000,B,1,N,0,0,,47th St. (near Lake Park Ave.),Chicago,,,0,ks,1995/08/02,,,,-87.59085,41.80952
24,5065.00000,51205065.00000,53rd St.,53rd Street (Hyde Park),Electric,5,1,6.50000,B,0,N,0,0,,53rd St. (at Lake Park Ave.),Chicago,,,0,ks,1995/08/02,,,,-87.58679,41.79992
25,5070.00000,51205070.00000,55th-56th-57th St.,55th-56th-57th Street,Electric,5,1,7.00000,B,0,N,1,0,,55th to 57th Sts. (at Lake Park Ave.),Chicago,,,0,ks,1995/08/02,,,,-87.58750,41.79284
26,5074.00000,51205074.00000,59th St.,59th Street (University of Chicago),"Electric, S. Shore",5,1,7.40000,B,1,N,1,0,,59th St. and Harper St.,Chicago,,,0,ks,1995/08/02,,,,-87.58877,41.78700
27,5079.00000,51205079.00000,63rd St.,63rd Street,"Electric, S. Shore",5,1,7.90000,B,1,N,0,0,,63rd St. and Dorchester St.,Chicago,,,0,ks,1995/08/02,,,,-87.59040,41.77988
28,5093.00000,51205093.00000,75th St.,75th Street (Grand Crossing),Electric,5,1,9.30000,B,1,N,0,0,,75th St. and South Chicago Ave.,Chicago,,,0,ks,1995/08/02,,,,-87.59516,41.75891
29,5100.00000,51205100.00000,79th St.,79th Street (Chatham),Electric,5,1,10.00000,B,1,N,1,0,,79th St. (near Greenwood St.),Chicago,,,0,ks,1995/08/02,,,,-87.59699,41.75083
30,5104.00000,51205104.00000,83rd St.,83rd Street (Avalon Park),Electric,5,1,10.40000,C,1,N,1,0,,83rd St. (near Ellis St.),Chicago,,,0,ks,1995/08/02,,,,-87.59833,41.74432
31,5109.00000,51205109.00000,87th St.,87th Street (Woodruff),Electric,5,1,10.90000,C,1,N,1,0,,87th St. and Dauphin St.,Chicago,,,0,ks,1995/08/02,,,,-87.59995,41.73741
32,5114.00000,51205114.00000,91st St.,91st Street (Chesterfield),Electric,5,1,11.40000,C,1,N,1,0,,91st St. and Dauphin St.,Chicago,,,0,ks,1995/08/02,,,,-87.60175,41.72975
33,5120.00000,51205120.00000,95th St.,95th Street (Chicago State University),Electric,5,1,12.00000,C,1,N,0,0,,95th St. and Cottage Grove Ave.,Chicago,,,0,ks,1995/08/02,,,,-87.60368,41.72142
34,5130.00000,51205130.00000,103rd St.,103rd Street (Rosemoor),Electric,5,1,13.00000,C,1,N,1,0,,103rd St. and Cottage Grove Ave.,Chicago,,,0,ks,1995/08/02,,,,-87.60701,41.70697
35,5135.00000,51205135.00000,107th St.,107th Street,Electric,5,1,13.50000,C,1,N,0,0,,107th St. and Cottage Grove Ave.,Chicago,,,0,ks,1995/08/02,,,,-87.60866,41.69984
36,5140.00000,51205140.00000,111th St.,111th Street,Electric,5,1,14.00000,C,1,N,0,0,,111th St. and Cottage Grove Ave.,Chicago,,,0,ks,1995/08/02,,,,-87.61021,41.69310
37,5145.00000,51205145.00000,Kensington,Kensington (115th Street),"Electric, S. Shore",5,1,14.50000,C,0,A,1,0,,115th St. and Cottage Grove Ave.,Chicago,,,0,ks,1995/08/02,,,,-87.61183,41.68603
38,5173.00000,51205173.00000,Riverdale,Riverdale,Electric,5,1,17.30000,D,1,N,1,0,,137th St. and Illinois St.,Riverdale,,,0,ks,1995/08/02,,,,-87.62330,41.64633
39,5182.00000,51205182.00000,Ivanhoe,Ivanhoe,Electric,5,1,18.20000,D,0,A,1,46,,144th St. and Tracy St.,Riverdale,,,0,ks,1995/08/02,,,,-87.63007,41.63374
40,5190.00000,51205190.00000,147th St.,147th Street (Sibley Boulevard),Electric,5,1,19.00000,D,1,N,1,0,,147th St. and Clinton St.,Harvey,,,0,ks,1995/08/02,,,,-87.63594,41.62301
41,5200.00000,51205200.00000,Harvey,Harvey,Electric,5,1,20.00000,D,0,A,1,0,,Park Ave. and 154th St.,Harvey,,,0,ks,1995/08/02,,,,-87.64353,41.60893
42,5223.00000,51205223.00000,Hazel Crest,Hazel Crest,Electric,5,1,22.30000,E,1,N,1,0,,Park Ave. and 170th St.,Hazel Crest,,,0,ks,1995/08/02,,,,-87.65851,41.58084
43,5228.00000,51205228.00000,Calumet,Calumet,Electric,5,1,22.80000,E,0,N,1,13,,Park Ave. and 174th St.,East Hazel Crest,,,0,ks,1995/08/02,,,,-87.66283,41.57274
44,5235.00000,51205235.00000,Homewood,Homewood,Electric,5,1,23.50000,E,0,A,1,96,,Ridge Rd. (at Harwood Ave.),Homewood,,,0,ks,1995/08/02,,,,-87.66836,41.56237
45,5249.00000,51205249.00000,Flossmoor,Flossmoor,Electric,5,1,24.90000,E,0,A,1,27,,Flossmoor Rd. and Sterling Rd.,Flossmoor,,,0,ks,1995/08/02,,,,-87.67852,41.54330
46,5266.00000,51205266.00000,Olympia Fields,Olympia Fields,Electric,5,1,26.60000,F,1,N,0,0,,203rd St. (2 blks. E. of Kedzie Ave.,Olympia Fields,,,0,ks,1995/08/02,,,,-87.69041,41.52104
47,5276.00000,51205276.00000,211th St.,211th Street (Lincoln Highway),Electric,5,1,27.60000,F,0,A,1,85,,211th St. (between Olympian Way and Olympian Cir.),,,,0,ks,1995/08/02,,,,-87.69812,41.50644
48,5282.00000,51205282.00000,Matteson,Matteson,Electric,5,1,28.20000,F,1,N,1,21,,215th St. and Main St.,Matteson,,,0,ks,1995/08/02,,,,-87.70191,41.49868
49,5293.00000,51205293.00000,Richton Park,Richton Park,Electric,5,1,29.30000,F,0,A,1,44,,Sauk Trail (E. of Governors Hwy.),Richton Park,,,0,ks,1995/08/02,,,,-87.70898,41.48559
50,5315.00000,51205315.00000,University Park,University Park,Electric,5,1,31.50000,G,0,A,1,0,,1900 University Pkwy.,University Park,,,0,ks,1995/08/02,,,,-87.72332,41.45896
51,6000.00000,51206000.00000,LaSalle St.,LaSalle Street,Rock Is.,6,1,0.00000,A,0,A,0,0,,414 S. LaSalle St.,Chicago,,,180,aef,2001/03/08,,,,-87.63214,41.87505
